approach;sample_size;avg_dev_activities;stddev;avg_pw_similarity;stddev
Random;100;12.3;0.9000000000000001;0.9119658119658117;0.07956525895888568
Random;200;12.9;0.5385164807134504;0.9175824175824175;0.05929089397889616
Random;300;13.0;0.4472135954999579;0.9704517704517707;0.039235008114312686
Random;400;13.1;0.3;0.9857142857142858;0.02857142857142856
Random;500;13.4;0.66332495807108;0.9455433455433456;0.04577761390044017
Longest;100;14.0;0.0;1.0;0.0
Longest;200;14.0;0.0;1.0;0.0
Longest;300;14.0;0.0;1.0;0.0
Longest;400;14.0;0.0;1.0;0.0
Longest;500;14.0;0.0;1.0;0.0
Feature;100;12.4;0.7999999999999999;0.9033374033374031;0.06637844741135603
Feature;200;13.2;0.4;0.9523809523809523;0.05216405309573011
Feature;300;13.2;0.4;0.9746031746031748;0.03419152258498096
Feature;400;13.5;0.5;0.9603174603174603;0.03549314249999665
Feature;500;13.7;0.45825756949558394;0.9666666666666668;0.0356348322549899
Sequence;100;11.8;0.7483314773547883;0.8840455840455841;0.05991785569098139
Sequence;200;12.8;0.6;0.95018315018315;0.0438857802275576
Sequence;300;13.3;0.45825756949558394;0.9666666666666668;0.0356348322549899
Sequence;400;13.4;0.4898979485566356;0.946031746031746;0.04556412728383277
Sequence;500;13.0;0.0;1.0;0.0
